Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
06/01/2021,22,NH,"1,737,915","113,600","705,280","919,035",0,"127,815","144,999","157,355","684,585","1,399,503","1,398,951","1,350,355","410,343","52,848","602,278","744,356",21,"47,770","22,132","19,449","6,189","28,144","12,227","10,962","4,955","102,927","116,718","122,264","161,639","1,435,242","816,244",60,"815,845",68.1,"780,547",70.7,"232,832",91.7,"669,207",49.2,"669,056",55.8,"657,788",59.6,"204,694",80.6,"54,133","282,085","332,965",24,"54,125","281,994","332,913",24,"54,102","281,884","321,778",24,"12,531","89,063","103,086",14,"19,447","9,811","8,395","1,241"
06/01/2021,22,MA,"9,309,200","440,400","3,740,300","5,128,500",0,"135,063","154,722","168,045","796,113","8,067,293","8,058,222","7,764,472","2,026,074","263,207","3,306,492","4,497,445",149,"320,658","143,518","132,217","44,923","187,705","79,166","73,352","35,187","117,044","133,930","140,160","173,268","8,059,911","4,587,271",66.6,"4,578,228",76.1,"4,360,174",78.7,"1,108,258",94.8,"3,711,007",53.8,"3,710,973",61.7,"3,634,114",65.6,"978,843",83.7,"263,967","1,466,843","1,980,157",40,"263,962","1,466,836","1,980,135",40,"263,059","1,463,254","1,907,764",37,"61,107","446,285","471,435",16,"131,198","63,503","57,940","9,755"
06/01/2021,22,WI,"5,934,385","314,500","2,551,560","3,068,325",0,"101,923","118,693","130,259","583,379","5,485,994","5,485,703","5,329,549","1,790,036","214,698","2,309,939","2,960,801",556,"182,212","85,927","59,536","36,749","121,869","52,679","37,930","31,260","94,222","109,719","116,983","175,969","5,445,794","2,979,990",51.2,"2,979,644",59.6,"2,865,616",62.9,"904,443",88.9,"2,596,098",44.6,"2,596,064",51.9,"2,556,411",56.1,"860,958",84.6,"207,413","1,051,562","1,336,876",247,"207,400","1,051,551","1,336,866",247,"207,296","1,051,353","1,297,520",242,"21,824","419,657","419,371",106,"59,746","32,806","21,414","5,526"
06/01/2021,22,ID,"1,610,265","99,500","678,700","832,065",0,"90,107","107,681","120,271","553,984","1,239,775","1,239,754","1,239,622","442,378","41,743","544,044","653,261",727,"26,910","8,500","4,893","13,517","16,443","4,836","2,937","8,670","69,375","82,904","92,588","152,193","1,243,252","673,393",37.7,"673,374",45,"672,841",50.3,"230,060",79.1,"586,778",32.8,"586,767",39.2,"586,675",43.8,"214,310",73.7,"41,613","247,404","297,543",218,"41,606","247,402","297,541",218,"41,599","247,394","297,465",217,"8,335","100,228","105,658",89,"10,269","3,553","1,903","4,813"
06/01/2021,22,MH,"51,300","10,800","40,500",0,0,"87,823","102,839","112,594","516,616","30,257","30,234","30,187","1,812",241,"30,016",0,0,0,0,0,0,0,0,0,0,"51,798","60,609","66,255","18,248","30,316","16,497",28.2,"16,481",33,"16,447",36.1,993,10,"13,971",23.9,"13,964",28,"13,949",30.6,832,8.4,244,"13,718",9,0,244,"13,711",9,0,244,"13,697",8,0,12,820,0,0,0,0,0,0
06/01/2021,22,AZ,"7,807,315","425,000","3,237,980","4,144,335",0,"107,262","125,801","138,465","596,601","5,976,666","5,976,242","5,815,168","2,028,689","190,563","2,615,784","3,165,784","4,535","126,302","60,981","41,372","23,949","82,246","37,148","25,781","19,317","82,112","96,297","103,134","155,024","5,869,144","3,376,964",46.4,"3,376,625",54.4,"3,260,584",57.8,"1,077,727",82.4,"2,628,096",36.1,"2,628,026",42.3,"2,587,475",45.9,"903,773",69.1,"183,504","1,105,017","1,338,093","1,482","183,470","1,105,004","1,338,070","1,482","183,396","1,104,745","1,297,856","1,478","34,435","446,356","422,079",903,"43,521","23,548","15,353","4,620"
06/01/2021,22,IL,"14,140,165","842,700","5,637,280","7,660,185",0,"111,587","130,471","143,497","692,049","11,701,469","11,687,945","11,285,374","3,202,288","394,767","4,787,017","6,511,814","7,871","423,785","163,392","113,250","147,143","286,556","96,978","69,140","120,438","92,342","107,844","114,526","156,727","11,829,514","6,987,611",55.1,"6,974,220",64.4,"6,660,645",67.6,"1,799,149",88.1,"5,088,954",40.2,"5,088,864",47,"4,992,145",50.7,"1,448,953",70.9,"395,028","2,004,133","2,687,135","2,658","395,005","2,004,094","2,687,107","2,658","393,254","1,999,573","2,596,676","2,642","58,764","670,875","717,806","1,508","135,877","65,680","43,606","26,591"
06/01/2021,22,KS,"2,982,945","171,400","1,307,900","1,503,645",0,"102,390","121,669","134,788","627,345","2,328,849","2,328,742","2,277,346","765,452","73,784","1,047,508","1,206,910",647,"89,866","45,878","28,021","15,967","55,378","26,390","18,018","10,970","79,938","94,985","102,905","160,983","2,430,995","1,365,645",46.9,"1,365,545",55.7,"1,324,210",59.8,"430,017",90.4,"1,120,823",38.5,"1,120,805",45.7,"1,105,835",50,"365,923",77,"73,656","485,235","561,708",224,"73,651","485,228","561,702",224,"73,599","485,106","546,908",222,"13,289","178,353","174,158",123,"34,097","19,201","9,902","4,994"
06/01/2021,22,IH2,"1,733,425","74,200","915,300","743,925",0,"83,225",0,0,0,"1,370,661","1,370,240","1,318,806","271,370","22,883","754,440","593,338",0,0,0,0,0,0,0,0,0,"65,808",0,0,0,"1,370,661","770,395",37,"770,111",0,"734,611",0,"148,143",0,"615,190",29.5,"615,073",0,"599,174",0,"122,594",0,"22,715","331,748","260,727",0,"22,703","331,683","260,687",0,"22,680","331,548","244,946",0,"2,395","70,766","49,433",0,0,0,0,0
06/01/2021,22,ME,"1,790,020","100,600","764,340","925,080",0,"133,165","151,065","163,417","627,494","1,481,269","1,481,179","1,436,277","495,569","95,234","643,601","742,157",277,"38,090","17,055","15,299","5,736","23,982","9,825","9,880","4,277","110,196","125,001","131,123","173,722","1,494,432","849,245",63.2,"849,161",71.7,"814,045",74.3,"266,492",93.4,"731,870",54.4,"731,847",61.8,"722,250",65.9,"250,864",87.9,"94,123","298,755","338,917",75,"94,106","298,752","338,914",75,"94,085","298,716","329,379",70,"20,296","114,765","115,780",23,"14,039","7,186","5,398","1,455"
